"fecha","cotizacion"
02/01/2012,"13.93420"
03/01/2012,"13.68820"
04/01/2012,"13.71440"
05/01/2012,"13.74090"
06/01/2012,"13.72280"
09/01/2012,"13.74370"
10/01/2012,"13.62040"
11/01/2012,"13.65920"
12/01/2012,"13.59820"
13/01/2012,"13.62630"
16/01/2012,"13.54010"
17/01/2012,"13.46210"
18/01/2012,"13.32670"
19/01/2012,"13.25160"
20/01/2012,"13.22400"
23/01/2012,"13.13830"
24/01/2012,"13.17120"
25/01/2012,"13.13190"
26/01/2012,"12.93250"
27/01/2012,"12.95040"
30/01/2012,"13.00630"
31/01/2012,"13.00770"
01/02/2012,"12.89000"
02/02/2012,"12.80380"
03/02/2012,"12.71200"
07/02/2012,"12.64720"
08/02/2012,"12.68330"
09/02/2012,"12.72000"
10/02/2012,"12.78570"
13/02/2012,"12.73920"
14/02/2012,"12.77530"
15/02/2012,"12.76580"
16/02/2012,"12.88220"
17/02/2012,"12.78560"
20/02/2012,"12.67930"
21/02/2012,"12.74080"
22/02/2012,"12.82960"
23/02/2012,"12.82940"
24/02/2012,"12.86750"
27/02/2012,"12.87790"
28/02/2012,"12.85750"
29/02/2012,"12.78910"
01/03/2012,"12.77640"
02/03/2012,"12.77230"
05/03/2012,"12.83390"
06/03/2012,"12.97770"
07/03/2012,"12.94690"
08/03/2012,"12.78400"
09/03/2012,"12.62990"
12/03/2012,"12.71500"
13/03/2012,"12.63360"
14/03/2012,"12.67190"
15/03/2012,"12.65910"
16/03/2012,"12.66450"
20/03/2012,"12.69350"
21/03/2012,"12.68330"
22/03/2012,"12.83300"
23/03/2012,"12.80350"
26/03/2012,"12.67950"
27/03/2012,"12.67060"
28/03/2012,"12.80390"
29/03/2012,"12.84890"
30/03/2012,"12.80930"
02/04/2012,"12.76910"
03/04/2012,"12.73170"
04/04/2012,"12.81550"
09/04/2012,"12.99020"
10/04/2012,"13.15680"
11/04/2012,"13.13240"
12/04/2012,"13.07360"
13/04/2012,"13.14580"
16/04/2012,"13.21680"
17/04/2012,"13.08160"
18/04/2012,"13.13220"
19/04/2012,"13.22880"
20/04/2012,"13.11710"
23/04/2012,"13.20870"
24/04/2012,"13.13920"
