,target
0,5994759.0
1,903732.56
2,2128062.8
3,1566812.0
4,620972.9
5,1573552.6
6,2333570.2
7,887273.3
8,2780218.5
9,1021776.06
10,3500069.2
11,415114.75
12,3291055.8
13,1416384.4
14,3433256.0
15,1932211.8
16,4891277.0
17,1769483.8
18,303147.38
19,993243.8
20,1447841.8
21,5505488.0
22,2627891.5
23,2587782.5
24,2322839.2
25,4660140.5
26,1535601.6
27,652526.06
28,4580823.5
29,3909796.8
30,3746106.8
31,3722827.0
32,3044540.2
33,1704604.6
34,1185265.1
35,2439425.2
36,2016435.8
37,3721825.5
38,1417810.9
39,3867490.2
40,1542289.0
41,760486.44
42,3522469.5
43,836044.0
44,7426693.5
45,764975.75
46,1585216.4
47,2560548.0
48,2369997.8
49,5599389.5
50,4884437.0
51,5116215.5
52,2025567.2
53,3708291.8
54,3612285.8
55,2164147.8
56,5955448.5
57,1300650.8
58,762876.44
59,1378601.1
60,2041225.6
61,3661906.8
62,6232517.0
63,716614.4
64,4251181.5
65,3497569.0
66,2361617.8
67,1155485.5
68,2151876.8
69,1084511.8
70,846024.56
71,2044347.1
72,4222277.0
73,1109384.1
74,5596600.5
75,1545249.5
76,1297956.9
77,5623760.0
78,2053965.9
79,3117922.2
80,1274370.5
81,3310771.8
82,3644603.8
83,846672.7
84,787848.5
85,401087.56
86,2611021.0
87,2422327.0
88,1476692.4
89,3183453.8
90,4462026.5
91,2868073.0
92,1159689.1
93,3762448.5
94,3666646.2
95,2863352.5
96,4424400.5
97,5073438.0
98,4991907.0
99,2720726.5
100,1020714.75
101,2236727.2
102,1579110.1
103,2284669.2
104,4123026.8
105,1557519.5
106,1571417.1
107,2136536.0
108,1914796.4
109,1476322.6
110,1520745.6
111,1596950.4
112,2499042.0
113,4759003.0
114,2274588.0
115,2279479.2
116,1979994.8
117,3287867.8
118,5800885.5
119,1098508.5
120,2785718.2
121,4007092.8
122,249323.89
123,4549715.0
124,1626533.9
125,570255.44
126,2091155.0
127,1558284.0
128,3158555.0
129,647234.25
130,2708900.2
131,6934982.0
132,3679270.0
133,5294572.0
134,724855.06
135,1893647.6
136,1655562.6
137,1656948.9
138,1932564.9
139,4873501.5
140,5302206.5
141,719365.8
142,991004.9
143,674265.94
144,5067243.0
145,2264773.2
146,620998.9
147,1941072.9
148,999063.1
149,7206596.0
150,2131953.5
151,2507982.5
152,3055879.5
153,1655735.8
154,3264651.8
155,2125391.2
156,3776034.5
157,1341234.4
158,2148897.8
159,2150167.8
160,7644739.0
161,6318024.0
162,751416.2
163,3563897.5
164,1216850.9
165,7490013.5
166,2938507.0
167,1552345.1
168,4729706.0
169,6895858.5
170,516138.06
171,3406423.0
172,2556648.5
173,2499348.0
174,2115595.8
175,2907233.2
176,6348899.5
177,4233099.0
178,1208417.2
179,3887009.8
180,1515779.0
181,1145469.0
182,4579603.0
183,6130966.5
184,1903478.6
185,469798.72
186,1302088.6
187,3382945.2
188,1615267.1
189,2370326.5
190,3440953.2
191,2560828.2
192,4799905.5
193,4335041.5
194,3494313.8
195,2504131.0
196,1573402.0
197,1084169.6
198,1769592.8
199,1578930.5
200,1594798.5
201,1008181.5
202,6061525.5
203,3862712.8
204,2778091.8
205,2755529.0
206,864049.9
207,241506.27
208,970653.06
209,1688287.6
210,1591864.0
211,1732408.9
212,4379915.0
213,588386.7
214,2076053.8
215,1549729.1
216,1193465.6
217,1158686.5
218,1896451.8
219,2120885.0
220,3617925.8
221,5726426.5
222,876940.75
223,2363079.2
224,2033759.0
225,4205346.5
226,1750439.1
227,1189661.9
228,1120688.9
229,4394145.5
230,2437491.0
231,1899759.5
232,3033225.8
233,3017944.5
234,5460939.5
235,2479676.2
236,1519191.0
237,7148506.5
238,5335527.5
239,844419.25
240,2513751.0
241,565642.1
242,1578258.6
243,2291630.5
244,460905.62
245,5193818.0
246,3611190.8
247,5998384.5
248,2940322.5
249,929563.9
250,1862650.8
251,1300698.4
252,2292538.5
253,6968645.5
254,362691.28
255,5057024.0
256,715298.9
257,1656935.1
258,3348768.8
259,3277762.2
260,180735.39
261,1304913.0
262,483876.6
263,1725965.9
264,4224941.0
265,3361286.8
266,3714112.0
267,1902763.5
268,3171454.8
269,2140157.2
270,3406488.5
271,5444066.0
272,571306.25
273,3300794.5
274,4386044.0
275,6119774.5
276,2122442.8
277,2204682.0
278,2051109.2
279,1770218.6
280,4396638.5
281,553017.1
282,1606071.1
283,418047.56
284,838358.5
285,1396068.9
286,2971558.2
287,6853704.5
288,1664715.4
289,1376477.5
290,131076.17
291,3025219.2
292,4327047.5
293,5360593.0
294,965829.75
295,891193.0
296,4983858.0
297,1841171.2
298,803190.7
299,699545.5
300,955710.0
301,3288499.8
302,3494296.5
303,2362493.5
304,6860175.0
305,3402774.8
306,4334382.5
307,550608.0
308,500623.75
309,2326914.0
310,1249111.1
311,603988.6
312,4895401.0
313,4298515.5
314,1461593.1
315,2001727.4
316,3645425.5
317,1962285.6
318,5325407.5
319,1740958.8
320,1810976.6
321,341850.6
322,2850231.0
323,4379367.5
324,3001166.0
325,2520821.5
326,1765512.8
327,5511672.0
328,1375096.4
329,3064028.8
330,3500186.5
331,6665154.0
332,2649685.2
333,2800225.0
334,6302870.0
335,544604.3
336,1411923.0
337,3828735.5
338,930114.56
339,3200533.8
340,316579.78
341,3128412.5
342,5870526.5
343,1786676.9
344,2922329.5
345,1403862.5
346,3089861.2
347,903009.1
348,3659671.5
349,2910783.8
350,3557124.8
351,941509.25
352,2381761.2
353,7562412.5
354,4343289.0
355,781895.25
356,4721690.5
357,720902.25
358,4606169.0
359,875023.44
360,1097092.2
361,5679636.5
362,3442832.8
363,2694026.8
364,1129318.6
365,1717132.8
366,555570.7
367,4288205.0
368,6065982.0
369,6098099.5
370,7956214.5
371,373918.53
372,1714659.9
373,2152438.5
374,2420028.5
375,1001317.1
376,4269961.5
377,802593.9
378,3635010.8
379,4123105.0
380,7829270.5
381,703145.75
382,1869131.4
383,1588008.0
384,6749087.5
385,868023.5
386,1612812.2
387,2996555.2
388,3627252.8
389,1865936.1
390,878156.06
391,5194076.0
392,2107134.2
393,577205.44
394,3811410.2
395,3095114.8
396,5889280.5
397,3779079.0
398,3299235.0
399,3418910.0
400,752567.56
401,1702406.4
402,1166054.6
403,3030518.5
404,3993407.0
405,2278124.2
406,2275341.0
407,4201801.0
408,5064308.0
409,2964872.8
410,2978924.8
411,1103315.4
412,1158749.8
413,1355187.8
414,3751664.8
415,3323908.2
416,1115007.2
417,5215883.0
418,966796.2
419,892511.56
420,1617066.6
421,1555301.0
422,4260956.5
423,2122192.2
424,6267100.0
425,1381936.4
426,5667174.0
427,3633977.5
428,8340585.0
429,535611.6
430,2848754.0
431,1831829.8
432,4210992.5
433,2642993.0
434,2103273.2
435,1440436.4
436,2225121.8
437,704225.2
438,1487076.6
439,4891633.0
440,1449715.5
441,836310.94
442,739611.75
443,853805.56
444,984561.8
445,438432.38
446,4033347.0
447,1639773.6
448,6215304.0
449,4576200.0
450,2753852.0
451,1930925.9
452,645645.25
453,2445432.0
454,7119517.0
455,3189339.8
456,592140.9
457,2215371.5
458,1480137.6
459,2040222.4
460,1141971.9
461,1447889.5
462,1419518.2
463,3480107.2
464,624287.06
465,2782008.2
466,2297133.5
467,1370365.0
468,2093720.1
469,1111981.9
470,1238226.9
471,1873951.4
472,3407150.0
473,3569320.8
474,1921842.1
475,410824.4
476,4938771.5
477,3563652.8
478,2497962.5
479,1952816.9
480,1843785.5
481,894738.8
482,486752.97
483,910886.44
484,1554571.2
485,4823935.0
486,3865439.0
487,3241788.2
488,1687676.0
489,2416287.0
490,1628854.9
491,2254635.0
492,387488.38
493,2040423.1
494,3149899.0
495,1655452.0
496,2520936.8
497,2516419.0
498,3492119.5
499,6524449.5
500,3193423.5
501,3797499.5
502,2459383.8
503,847897.7
504,1041250.0
505,2708803.8
506,436219.25
507,3775937.5
508,100336.7
509,1660425.2
510,561931.06
511,6043648.5
512,1799595.5
513,2911398.8
514,4609295.0
515,3502226.5
516,642487.75
517,6512837.0
518,2694085.0
519,6883882.5
520,554388.4
521,1935913.9
522,529733.06
523,630817.25
524,4243499.5
525,3070432.0
526,3784317.8
527,1628435.6
528,2764867.8
529,1735179.1
530,303111.25
531,2234059.8
532,599774.1
533,969591.56
534,4805976.5
535,272398.7
536,4105893.8
537,3451878.8
538,142118.95
539,6602188.5
540,330476.28
541,1023079.6
542,897446.3
543,3318068.5
544,445863.0
545,675644.6
546,1804083.0
547,3711468.8
548,1866309.2
549,444411.7
550,4045744.0
551,622907.56
552,1850554.2
553,5140952.5
554,1514694.2
555,3927998.5
556,924977.7
557,3481494.8
558,2477858.2
559,6540354.5
560,1112675.4
561,863179.5
562,430147.12
563,386385.56
564,2153858.0
565,4213691.5
566,434219.7
567,823273.6
568,583486.1
569,386831.56
570,457666.4
571,3304971.2
572,3186369.8
573,1835756.4
574,6637169.5
575,2620237.5
576,2909583.5
577,4787592.0
578,1305737.9
579,2717322.2
580,1241185.0
581,1053553.2
582,3501446.5
583,3638708.5
584,2422962.2
585,866899.94
586,2393097.5
587,154240.39
588,4591054.0
589,3897080.8
590,1810002.5
591,2646747.5
592,665770.1
593,4203507.5
594,8375980.5
595,707583.25
596,2250674.0
597,2378651.0
598,2306960.8
599,2834678.8
600,1783015.6
601,2498475.0
602,1825359.8
603,1804722.9
604,1507834.6
605,4038769.8
606,3862498.8
607,7238711.5
608,337653.72
609,2053306.4
610,912568.4
611,635264.4
612,1279171.4
613,2906963.8
614,2013915.4
615,274415.1
616,4658905.5
617,247662.45
618,1826126.5
619,2804627.2
620,913901.9
621,3802346.5
622,2742247.5
623,2350152.5
624,337653.72
625,4300441.5
626,2069476.5
627,1358929.9
628,1960859.9
629,1424044.9
630,4127339.8
631,3837257.2
632,2516947.2
633,1140684.1
634,600294.2
635,1452335.9
636,2942087.8
637,4573735.0
638,2435522.2
639,4288687.0
640,2775184.0
641,3446882.8
642,1140243.8
643,1024743.0
644,2616943.8
645,920347.25
646,6057214.5
647,1841811.4
648,1831975.4
649,517554.75
650,1880044.5
651,475175.2
652,1257629.4
653,563783.94
654,2650468.5
655,6445953.0
656,2693294.0
657,676274.6
658,1358398.2
659,1215046.0
660,737952.7
661,2384878.8
662,491132.56
663,3564158.2
664,554804.06
665,3420346.2
666,5240447.0
667,1412905.2
668,2824986.2
669,4217235.0
670,618517.1
671,3767950.0
672,5030633.5
673,525129.25
674,1486164.9
675,2831809.2
676,1252584.9
677,1571157.9
678,1008742.75
679,4325052.5
680,5918310.0
681,506552.0
682,367315.47
683,3303108.2
684,3710748.8
685,2039137.5
686,2207482.2
687,3714154.8
688,1102230.8
689,5023845.5
690,3418083.0
691,4405226.0
692,1081351.8
693,915580.6
694,805681.2
695,2664956.5
696,1729410.0
697,2058053.9
698,2160873.2
699,969284.7
700,1451902.8
701,1126396.1
702,2323653.0
703,2817301.2
704,1605943.1
705,1650474.8
706,3089970.5
707,561272.44
708,3230048.5
709,1956960.6
710,1025753.56
711,413543.5
712,2573323.5
713,2326622.0
714,4010130.2
715,1277799.2
716,571122.0
717,1590480.6
